踉踉跄跄:liang4 liang4 qiang4 qiang4
可逆反应:ke3 ni4 fan3 ying4
口腹之累:kou3 fu4 zhi1 lei3
质疑问难:zhi4 yi2 wen4 nan4
收入差距:shou1 ru4 cha1 ju4
直言贾祸:zhi2 yan2 gu3 huo4
刻鹄成鹜:ke4 hu2 cheng2 wu4
克尽厥职:ke4 jin4 jue2 zhi2
收支差额:shou1 zhi1 cha1 e2
首足异处:shou3 zu2 yi4 chu3
置之高阁:zhi4 zhi1 gao1 ge2
还珠合浦:huan2 zhu1 he2 pu3
认贼作子:ren4 zei2 zuo4 zi3
患难夫妻:huan4 nan4 fu1 qi1
课嘴撩牙:ke4 zui3 liao2 ya2
认贼为子:ren4 zei2 wei2 zi3
还朴反古:huan2 pu3 fan3 gu3
长安棋局:chang2 an1 qi2 ju2
看不习惯:kan1 bu4 xi2 guan4
只鸡樽酒:zhi1 ji1 zun1 jiu3
华亭鹤唳:hua4 ting2 he4 li4
芝麻开花:zhi1 ma kai1 hua1
破涕为笑:po4 ti4 wei2 xiao4
陟罚臧否:zhi4 fa2 zang1 pi3
知识分子:zhi1 shi2 fen4 zi3
知识宝库:zhi1 shi bao3 ku4
认贼为父:ren4 zei2 wei2 fu4
苦苦相逼:ku3 ku3 xiang4 bi1
至当不易:zhi4 dang4 bu4 yi4
数米而炊:shu3 mi3 er2 chui1
稚齿婑媠:zhi4 chi3 wo3 tuo3
差之毫厘:cha1 zhi1 hao2 li2
科学知识:ke1 xue2 zhi1 shi
差三错四:cha1 san1 cuo4 si4
画龙刻鹄:hua4 long2 ke4 hu2
会计分录:kuai4 ji4 fen1 lu4
化害为利:hua4 hai4 wei2 li4
辙乱旗靡:zhe2 luan4 qi2 mi3
画荻和丸:hua4 di2 huo4 wan2
测量记录:ce4 liang2 ji4 lu4
会计信息:kuai4 ji4 xin4 xi1
看在眼里:kan4 zai4 yan3 li
只轮无反:zhi1 lun2 wu2 fan3
数米量柴:shu3 mi3 er2 chai2
尽其所有:jin4 qi2 suo3 you3
耻与哙伍:chi3 yu2 kuai4 wu3
子宫内膜:zi3 gong1 nei4 mo2
温情脉脉:wen1 qing2 mo4 mo4
简丝数米:jian3 si1 shu3 mi3
救苦救难:jiu4 ku3 jiu4 nan4
三灾八难:san1 zai1 ba1 nan4
救黥医劓:jiu4 qing2 yi1 yi4
